"","V1","V2"
"58","Life Goes On - Remastered","http://open.spotify.com/track/ 2OWKsyrgUINadOG21dR0Fh"
"59","Spirits In The Night","http://open.spotify.com/track/ 2ZtGWGzdo7kTk5a7tGimss"
"60","Las Cosas Viejas Pasaron","http://open.spotify.com/track/ 299M2SMDpVL5Pd0J5BBMkt"
"61","El Manicero","http://open.spotify.com/track/ 3z7ksVvoZRPhQUJcSBrbd9"
"62","Time To Kill - Remastered 2000","http://open.spotify.com/track/ 18B2YomkDx6bqvTWzPbYNN"
"63","Yo soy aquél","http://open.spotify.com/track/ 4H71d1kJ8DB8J4atO8fbBl"
"64","Living a Boy's Adventure Tale","http://open.spotify.com/track/ 13WPj6r2DVNU3GoZtMc9eU"
"65","Right Where You Want Me - Radio Edit Version","http://open.spotify.com/track/ 58ZvuqZgeuZMCbpCsH9E76"
"66","You're Only Second Rate - From ""The Return of Jafar""","http://open.spotify.com/track/ 0RVyWZc7pF0Lp6y651xYmc"
"67","Never Been Any Reason","http://open.spotify.com/track/ 3L3LjQQgOagioYQ4v748Vm"
"68","P.L.U.C.K.","http://open.spotify.com/track/ 5ZjfvGPEW7AZ00QZR2XQBJ"
"69","Pieces of What","http://open.spotify.com/track/ 6wxDu7ISgm5nppPMea4W7D"
"70","Love Taste","http://open.spotify.com/track/ 0XVoD3TmJVEYdRzZoe0Ewy"
"71","Goodnight Baby","http://open.spotify.com/track/ 10pTcPMZEXcBJTGgsytUIy"
"72","Froot","http://open.spotify.com/track/ 6fk13PEdduHc2HG6JX6imT"
"73","Susan","http://open.spotify.com/track/ 2Z8FsPTnN8s9Dtguvqspca"
"74","Lost in the Flood","http://open.spotify.com/track/ 4x8vfPspwVPHRh7LGf7Whg"
"75","Only A Memory","http://open.spotify.com/track/ 4QlKsURJWveSH9C8pLQKWq"
"76","Speed Demon","http://open.spotify.com/track/ 4dYQ2i4yH70kKhUXMypICn"
"77","Faces - Prod. by Roberto Ferrante - 2020 Remaster","http://open.spotify.com/track/ 7zUkx37JJ7iz3ru4Y7Zd26"
"78","Joy","http://open.spotify.com/track/ 08TTz3bxSStwQKxZ8bEJ8C"
"79","Trigger","http://open.spotify.com/track/ 0Z26mbSHJ1dkUu7g9DDgif"
"80","Payback - Bass Chaserz Remix","http://open.spotify.com/track/ 0uqWsfvC6gz7L0BuGajUuv"
"81","Lex","http://open.spotify.com/track/ 70HxZbVnoyrfQ4dIWgcYMm"
"82","Sad Song","http://open.spotify.com/track/ 018RC89xBtF7MOTOmBG2Ml"
"83","Billie's Blues - Take 1","http://open.spotify.com/track/ 6YGjimELcQfbkb96Wy62kW"
"84","Invisible Touch - 2007 Remaster","http://open.spotify.com/track/ 0xpBr84T3FTm9j4D1MdPtk"
"85","Shine On - Live","http://open.spotify.com/track/ 7Ieqj0P9pzcB4Itsgt7JAN"
"86","Universally Speaking","http://open.spotify.com/track/ 39badcyKTjOtBvv4aywpfs"
"87","Para Que Regreses","http://open.spotify.com/track/ 0EZ5c3oWdpWIaYHvifMqI2"
"88","Can I Kill It?","http://open.spotify.com/track/ 6wheO301CDeUVwWrIV1mrd"
"89","There Goes My Baby","http://open.spotify.com/track/ 6rZsGpXDr0WsUSFitx3v8N"
"90","Rags2Riches 2 (feat. Lil Baby)","http://open.spotify.com/track/ 0qJeyYAgv6UpvewUxRXAhb"
"91","Chanda Ki Chandni Hai","http://open.spotify.com/track/ 1sgRCDCTd0CdinrjgDVHFr"
"92","The Final Countdown","http://open.spotify.com/track/ 4syv1QpthkeCBcLSw0Ldpf"
"93","The Power Of Love","http://open.spotify.com/track/ 2olVm1lHicpveMAo4AUDRB"
"94","Never Be The Same Again","http://open.spotify.com/track/ 79EAVfOpzgfHx3IE2BVFQv"
"95","Una Lágrima Más","http://open.spotify.com/track/ 4Fnqj2sMVr4el2IOzF6FOO"
"96","Diamond Girl","http://open.spotify.com/track/ 7CQQBWqFfROA5RWyY04ifv"
"97","Go Ahead John","http://open.spotify.com/track/ 7dZkodGCc6Z0fTCbB1k5Ue"
"98","Who's Cheatin' Who","http://open.spotify.com/track/ 27CmNO9qaBWNeT3uqMZTvZ"
"99","Louisiana Saturday Night","http://open.spotify.com/track/ 5UjMNjUbii80w7KGdQ1UpM"
"100","Kiss Me Deadly","http://open.spotify.com/track/ 0kFM6t9htbB53Dg8frGDGh"
